ord__Education,onehot__EmploymentType_Full-time,onehot__EmploymentType_Part-time,onehot__EmploymentType_Self-employed,onehot__EmploymentType_Unemployed,onehot__MaritalStatus_Divorced,onehot__MaritalStatus_Married,onehot__MaritalStatus_Single,onehot__HasMortgage_No,onehot__HasMortgage_Yes,onehot__HasDependents_No,onehot__HasDependents_Yes,onehot__LoanPurpose_Auto,onehot__LoanPurpose_Business,onehot__LoanPurpose_Education,onehot__LoanPurpose_Home,onehot__LoanPurpose_Other,onehot__HasCoSigner_No,onehot__HasCoSigner_Yes,std__Age,std__Income,std__LoanAmount,std__CreditScore,std__MonthsEmployed,std__NumCreditLines,std__InterestRate,std__LoanTerm,std__DTIRatio,Target
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.2955992006453514,0.7094800219884798,0.04113979543582986,0.3196260703902781,1.2715132761166537,1.3717382484193599,-1.4498742020320892,-1.4035243920887766,-0.6102666999346463,0
2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.8926595105658539,0.8428014586510796,-1.0759377422665888,-0.28491661838852694,1.010924136135007,-0.431349792880486,0.00038324805886208024,-0.7033391897433645,1.4353094322493927,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.362755815658601,1.1398763990405683,-0.9745004924337352,1.312348801437579,0.8661523917007589,0.47019422776943687,0.15614603988302042,1.3972164172928716,0.56485150366044,1
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.3906653998846326,0.1986941745460135,-0.3558332829615656,0.35780771389209737,0.7213806472665106,0.47019422776943687,1.2585836635705105,-1.4035243920887766,-0.6102666999346463,0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.7264484749508806,0.6744462806229072,0.43645066087943046,0.23689917613633638,1.1556958805692552,1.3717382484193599,1.090722790827971,0.6970312149474597,-0.04446904635182702,0
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5921352449243813,-0.0793893254950843,0.28527380138683445,-0.5967333736533843,0.7503349961533603,-0.431349792880486,-0.7118912660108334,0.6970312149474597,1.2176949501021548,0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.4578220148978822,0.8673606706678743,-1.2677542998244231,-1.2712757421855247,-0.4367933082074749,-1.332893813530409,0.21512418436012906,-0.7033391897433645,-0.30560642492851287,0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.5249786299111316,0.19465181977306284,-0.002134087564659791,1.127804191178786,0.6055632517191121,1.3717382484193599,0.7791972071796543,0.6970312149474597,-0.2620835284990652,0
2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.3906653998846326,0.7844288387850747,-1.4453857010731779,-1.551274461198866,-0.37888461043377564,-0.431349792880486,-0.7829674914063233,1.3972164172928716,-0.9584498713702273,0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9205690947918853,0.8359116590066165,-0.8446788434322662,0.9750776171715089,-0.40783895932062525,0.47019422776943687,-0.6226679192377719,1.3972164172928716,-1.001972767799675,0
2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.047533099619640515,1.1642576457528935,-0.4115878496659725,0.08417260212905932,1.4452393694377517,1.3717382484193599,0.5810911321411613,1.3972164172928716,-0.6537895963640941,0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.28824997544660746,1.5721032763672007,-0.3810904679289738,-0.800368805663087,0.373928460624315,-1.332893813530409,-0.11152400043616441,0.6970312149474597,-0.1750377356401698,0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3833161746858885,0.8527166684715247,-0.8514967338529162,-1.6340013554528077,-0.8711085415102194,1.3717382484193599,-1.6434434967261888,-0.7033391897433645,-1.2195872499469134,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.4578220148978822,-0.9471735737034214,0.5857399226109374,-1.0485494884249122,-0.7263367970759713,1.3717382484193599,-1.4105554390473498,-1.4035243920887766,-0.6102666999346463,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.987725709805135,0.8597081625756846,0.3595944415921025,-0.9340045579194545,0.43183715839801423,1.3717382484193599,-0.9704877456412324,-0.0031539873979524297,-0.5667438035051987,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6519426347388869,-1.5724165355347177,0.07417275625488853,-0.1576444733824627,0.692426298379661,0.47019422776943687,1.5958176691703878,0.6970312149474597,0.08609964293651602,0
